,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
0,Stat1,649,433,6.297320058489733e-218,2.2355486207638553e-215
1,E2f4,490,357,4.5206423886966143e-200,1.604828047987298e-197
2,Ets1,507,363,4.1258197331051564e-199,1.4646660052523305e-196
3,Egr1,544,351,3.710465779024666e-169,1.3172153515537564e-166
4,Spi1,431,299,1.2802964280606032e-157,4.545052319615142e-155
5,Myc,368,254,4.477524160655504e-133,1.589521077032704e-130
6,E2f1,502,299,3.581813270288075e-130,1.2715437109522666e-127
7,Cebpa,575,290,3.2093282943379575e-101,1.1393115444899749e-98
8,Trp53,478,248,4.5345016724116806e-90,1.6097480937061465e-87
9,Tal1,334,190,3.3432491198344317e-78,1.1868534375412231e-75
10,Runx1,246,159,4.0359295604954585e-77,1.4327549939758877e-74
11,Mitf,431,218,1.4516913761076372e-76,5.153504385182112e-74
12,Ctcf,593,260,3.762054261801744e-74,1.3355292629396191e-71
13,Hnf4a,535,233,7.250854377935565e-66,2.574053304167125e-63
14,Fos,428,190,1.73477399545981e-55,6.158447683882326e-53
15,Esr1,507,207,4.869820746318772e-53,1.7287863649431642e-50
16,Tfap2c,467,194,3.653982915938461e-51,1.2971639351581538e-48
17,Sp1,328,153,2.668042268661624e-48,9.471550053748765e-46
18,Gata2,450,185,4.696119233993241e-48,1.6671223280676004e-45
19,Zfp263,307,146,1.9306143836261409e-47,6.853681061872801e-45
20,Vdr,147,95,1.2820617251944349e-46,4.551319124440244e-44
21,Gata3,475,185,4.840116109680768e-44,1.7182412189366727e-41
22,Foxp1,167,99,1.3125632405468267e-43,4.659599503941235e-41
23,Hif1a,187,99,9.968587080350251e-38,3.538848413524339e-35
24,Foxa1,490,175,5.477207689368048e-36,1.944408729725657e-33
25,Rela,156,87,1.1917869703203138e-35,4.230843744637114e-33
26,Yy1,74,56,7.548613487333372e-34,2.679757788003347e-31
27,Nfkb1,174,90,2.1308276200423687e-33,7.564438051150409e-31
28,Ar,144,74,1.7045068459523128e-27,6.050999303130711e-25
29,Stat2,36,33,7.670727314417211e-26,2.72310819661811e-23
30,Jun,119,55,4.223731448544228e-18,1.499424664233201e-15
31,Prdm14,193,74,4.571943036469599e-18,1.6230397779467078e-15
32,Stat3,85,44,4.1048425286053946e-17,1.457219097654915e-14
33,Epas1,47,29,1.9143982069487208e-14,6.7961136346679584e-12
34,Atf4,31,23,2.2989848770620842e-14,8.1613963135704e-12
35,Irf1,39,26,2.845501037821321e-14,1.010152868426569e-11
36,Usf1,62,32,8.533293182840562e-13,3.0293190799083995e-10
37,Elk1,37,23,7.817533793349413e-12,2.7752244966390416e-09
38,Tcf3,15,14,8.16331173247198e-12,2.8979756650275525e-09
39,Bach1,29,20,1.0640223158453698e-11,3.7772792212510625e-09
40,Srebf1,24,18,1.2018843136881121e-11,4.266689313592798e-09
41,Foxo3,38,23,1.7269285329074087e-11,6.1305962918213005e-09
42,Tfap2a,74,33,6.262362595646292e-11,2.2231387214544337e-08
43,Mycs,20,15,6.614493032895047e-10,2.3481450266777417e-07
44,Usf2,41,22,1.1847278739735756e-09,4.2057839526061936e-07
45,Foxm1,38,21,1.3730158970173946e-09,4.874206434411751e-07
46,Atf6,10,10,1.9158832168821177e-09,6.801385419931517e-07
47,Srebf2,22,15,5.565476263148934e-09,1.9757440734178715e-06
48,Rara,48,23,8.803780469252175e-09,3.125342066584522e-06
49,E2f2,15,12,1.0569361148904095e-08,3.752123207860954e-06
50,Runx3,11,10,1.8502387439758685e-08,6.568347541114333e-06
51,Foxo1,47,22,3.170448245258307e-08,1.125509127066699e-05
52,Stat5a,24,15,3.264915643918981e-08,1.1590450535912384e-05
53,Nfkb2,16,12,3.705219850331578e-08,1.3153530468677103e-05
54,Irf9,12,10,9.747966523945558e-08,3.460528116000673e-05
55,Nfe2l2,10,9,1.2543631828988257e-07,4.452989299290831e-05
56,Creb1,82,29,4.2465122003527565e-07,0.00015075118311252286
57,Sox2,266,66,4.4538269616171343e-07,0.00015811085713740827
58,Hsf1,11,9,6.066390071154402e-07,0.00021535684752598127
59,Nrf1,7,7,7.910282549867547e-07,0.0002808150305202979
60,Irf4,7,7,7.910282549867547e-07,0.0002808150305202979
61,Atf3,9,8,8.420469549136289e-07,0.00029892666899433826
62,Srf,30,15,1.7391088404472206e-06,0.0006173836383587633
63,Stat5b,21,12,3.0997914732002333e-06,0.001100425972986083
64,Stat4,10,8,3.708489501408614e-06,0.001316513773000058
65,Nfya,10,8,3.708489501408614e-06,0.001316513773000058
66,Irf2,8,7,5.584522419788526e-06,0.0019825054590249264
67,Thap11,6,6,5.888860968032814e-06,0.002090545643651649
68,Esr2,19,11,6.826694918627529e-06,0.002423476696112773
69,Ets2,30,14,1.0755993792295843e-05,0.0038183777962650244
70,Cebpb,46,18,1.2956342450389742e-05,0.0045995015698883585
71,Jund,20,11,1.3318931256501323e-05,0.0047282205960579695
72,Smad4,35,15,1.873418142024725e-05,0.006650634404187774
73,Pax5,9,7,2.218318654685066e-05,0.007875031224131985
74,Nfatc1,9,7,2.218318654685066e-05,0.007875031224131985
75,Pou2f2,9,7,2.218318654685066e-05,0.007875031224131985
76,Erg,21,11,2.4559985018132506e-05,0.008718794681437039
77,E2f3,12,8,3.167203839308443e-05,0.011243573629544973
78,Smad1,7,6,3.647585724630919e-05,0.012948929322439762
79,Nfyb,7,6,3.647585724630919e-05,0.012948929322439762
80,Myb,29,13,3.789052475543729e-05,0.013451136288180237
81,Cebpe,5,5,4.383487545773352e-05,0.0155613807874954
82,Relb,13,8,7.258539130575501e-05,0.025767813913543026
83,Wt1,31,13,8.858062584772158e-05,0.031446122175941164
84,Rel,20,10,9.702767657072626e-05,0.03444482518260782
85,Pparg,48,17,9.897095307223993e-05,0.035134688340645176
86,Maz,8,6,0.0001291498617258711,0.045848200912684246
87,Crem,8,6,0.0001291498617258711,0.045848200912684246
88,Tbp,8,6,0.0001291498617258711,0.045848200912684246
89,Foxo4,14,8,0.00014932527022257022,0.053010470929012427
90,Tfdp1,11,7,0.00015858457677792593,0.0562975247561637
91,Fosl2,11,7,0.00015858457677792593,0.0562975247561637
92,Tcf7l2,21,10,0.00016290739616399346,0.05783212563821768
93,Nr1h3,6,5,0.00023356494790623705,0.08291555650671416
94,Sp3,71,21,0.0003013344645052692,0.10697373489937057
95,Fosl1,12,7,0.00033626213051670404,0.11937305633342993
96,Trp73,9,6,0.00034308321208391206,0.12179454028978878
97,Gata1,16,8,0.0004978547210331337,0.17673842596676248
98,Pou2f1,32,12,0.0005671290377593289,0.20133080840456175
99,Nfic,32,12,0.0005671290377593289,0.20133080840456175
100,Atf2,24,10,0.000616897856586358,0.2189987390881571
101,Cebpd,13,7,0.0006438849929294776,0.22857917248996457
102,E2f6,7,5,0.0007262876745560568,0.25783212446740017
103,Stat6,10,6,0.000759771810730457,0.2697189928093122
104,Ppara,33,12,0.0007829440894664535,0.277945151760591
105,Smad3,38,13,0.0009324010972461651,0.33100238952238864
106,Fli1,14,7,0.0011384447156363854,0.4041478740509168
107,Zeb1,14,7,0.0011384447156363854,0.4041478740509168
108,Rfx5,14,7,0.0011384447156363854,0.4041478740509168
109,Spib,5,4,0.0014559364595462783,0.5168574431389288
110,Tcf4,8,5,0.001721517362606366,0.6111386637252599
111,Atf1,23,9,0.0019572674248585966,0.6948299358248018
112,Ddit3,3,3,0.0024279753550834836,0.8619312510546366
113,Hbp1,3,3,0.0024279753550834836,0.8619312510546366
114,Nfia,3,3,0.0024279753550834836,0.8619312510546366
115,Zbtb7a,3,3,0.0024279753550834836,0.8619312510546366
116,Mnt,3,3,0.0024279753550834836,0.8619312510546366
117,Ahr,9,5,0.003444560050759433,1.0
118,Mef2c,9,5,0.003444560050759433,1.0
119,Tbx21,9,5,0.003444560050759433,1.0
120,Irf8,6,4,0.00390067948282636,1.0
121,Nr1h2,6,4,0.00390067948282636,1.0
122,Bcl6,6,4,0.00390067948282636,1.0
123,Klf6,6,4,0.00390067948282636,1.0
124,Klf4,13,6,0.004325198732002404,1.0
125,Etv4,18,7,0.006468877226047653,1.0
126,Rfx1,7,4,0.00813320189385343,1.0
127,Esrra,7,4,0.00813320189385343,1.0
128,Npas2,4,3,0.008733135843507605,1.0
129,Sp2,4,3,0.008733135843507605,1.0
130,Cux1,4,3,0.008733135843507605,1.0
131,E2f7,4,3,0.008733135843507605,1.0
132,Lyl1,4,3,0.008733135843507605,1.0
133,Mef2a,8,4,0.014544886425100493,1.0
134,Clock,8,4,0.014544886425100493,1.0
135,Klf5,8,4,0.014544886425100493,1.0
136,Tcf7,8,4,0.014544886425100493,1.0
137,Prdm1,2,2,0.018066761480042826,1.0
138,Nfat5,2,2,0.018066761480042826,1.0
139,Mafg,2,2,0.018066761480042826,1.0
140,Gfi1,2,2,0.018066761480042826,1.0
141,Sall4,2,2,0.018066761480042826,1.0
142,Creb3l1,2,2,0.018066761480042826,1.0
143,Rorc,2,2,0.018066761480042826,1.0
144,Creb3,2,2,0.018066761480042826,1.0
145,Hmbox1,2,2,0.018066761480042826,1.0
146,Tead2,2,2,0.018066761480042826,1.0
147,Zfp740,2,2,0.018066761480042826,1.0
148,Rxra,17,6,0.01937459478564429,1.0
149,Nr2c2,5,3,0.01964893491944959,1.0
150,Mxi1,5,3,0.01964893491944959,1.0
151,Foxl2,19,6,0.03356175157438177,1.0
152,Lef1,24,7,0.034107028563387064,1.0
153,Bmal1,10,4,0.03495568034709663,1.0
154,Irf3,6,3,0.03539719035607281,1.0
155,Twist1,15,5,0.04103534868379221,1.0
156,Zbtb33,11,4,0.04921446447483709,1.0
157,Nfe2,3,2,0.04934433372996151,1.0
158,Mef2d,3,2,0.04934433372996151,1.0
159,Hsf2,3,2,0.04934433372996151,1.0
160,Hoxd3,3,2,0.04934433372996151,1.0
161,Mybl2,3,2,0.04934433372996151,1.0
162,Ebf1,3,2,0.04934433372996151,1.0
